color	t_length	mean_size	N	length_%
black	654948	36223.72222114	177	0.1756616539211962
blue	188314901	185281.05847050002	7912	50.508601893136294
green	27946248	80795.60843380001	3487	7.495561461909253
orange	910609	35911.05167243999	272	0.2442301892109497
purple	48495077	98845.91230845999	5359	13.006642694698304
red	1701547	44363.56699384999	370	0.45636761219311484
silver	66217670	116186.67625621003	6568	17.760276325507167
yellow	654663	30976.840050759998	210	0.17558362695143487
