color	t_length	mean_size	N	length_%
black	3314093.4457831327	47961.02342555999	820.1204819277109	0.8888640347312241
blue	206413630.07228917	289762.5254860204	8693.373493975903	55.361593852854675
green	34255431.0	103740.07432876904	3813.602409638554	9.187548290936599
orange	2094832.5421686748	47021.54995150578	462.89156626506025	0.561848976622292
purple	52266445.81927711	109141.75490858473	5713.638554216867	14.018231824027321
red	4197297.746987952	61921.20760771905	737.8795180722891	1.1257454231034993
silver	68298080.3253012	119739.3248861923	6795.518072289156	18.318027784539055
yellow	2006434.3012048192	47005.7742296087	426.65060240963857	0.5381398131853363
