"ID","NAME","COUNTRY","REGION","sNMF_K3","Jap_K4","K9_cluster","Initial_subpop","genoIndex"
"IRIS_313-8621","ARC_11663","India","As2e",0,1,"XI-1B","ind1B",855
"IRIS_313-8660","KOTTEYARAN","SriLanka","As2",0,1,"XI-2","ind2",872
"IRIS_313-8725","PULUT_BARAYA","Indonesia","As5",0,1,"XI-3","ind3",894
"IRIS_313-8844","ARC_14060","India","As2e",0,1,"XI-2","ind2",932
"IRIS_313-8900","ARC_14654","India","As2e",0,1,"XI-2","ind2",952
"IRIS_313-8924","KUTTA","India","As2a",0,1,"XI-2","ind2",960
"IRIS_313-8925","KURULUTUDU","SriLanka","As2",0,1,"XI-2","ind2",961
"IRIS_313-8930","MUKKALA_BAZAL","Bangladesh","As2c",0,1,"XI-1B","ind1B",963
"IRIS_313-8935","ARC_18061","India","As2e",0,1,"XI-adm","indx",965
"IRIS_313-8940","FU_ZAO_XIAN","China","As6",0,1,"XI-1A","ind1A",966
"IRIS_313-8946","ARC_11524","India","As2e",0,1,"XI-adm","indx",967
"IRIS_313-8948","BUCAYAB","Philippines","As5",0,1,"XI-3","ind3",968
